Responden_ID,Jenis_Kelamin,Umur,Aplikasi,SUS_Score,UEQ_Daya_Tarik,UEQ_Kejelasan,UEQ_Efisiensi,UEQ_Ketepatan,UEQ_Stimulasi,UEQ_Kebaruan
122,L,35,New Sakpole,80.8,1.8,1.6,1.5,1.0,-0.7,0.7
123,P,19,New Sakpole,66.0,-0.8,-0.0,1.0,1.3,0.0,0.9
124,L,52,New Sakpole,90.3,1.9,2.1,0.6,1.9,-0.6,0.4
125,L,33,New Sakpole,85.7,-0.8,0.8,-0.5,1.7,1.3,1.0
126,P,53,New Sakpole,57.4,-0.9,1.8,1.7,1.2,1.7,-1.0
127,P,50,New Sakpole,58.5,1.4,2.4,-1.3,1.2,2.2,-0.8
128,L,21,New Sakpole,53.9,2.5,1.9,-1.1,-0.6,0.5,1.4
129,P,50,New Sakpole,49.0,2.1,2.0,-0.1,-0.7,2.2,-0.4
130,P,31,New Sakpole,62.9,1.0,0.4,-1.1,0.7,2.1,-1.4
131,P,38,New Sakpole,85.3,2.2,0.9,1.8,-0.9,0.1,-1.0
132,L,37,New Sakpole,45.0,-1.0,-0.1,1.3,0.4,2.0,-0.7
133,L,25,New Sakpole,78.2,2.4,-0.3,-0.6,-0.4,0.3,1.9
134,L,24,New Sakpole,77.2,0.7,0.8,0.6,0.0,0.0,0.5
135,L,20,New Sakpole,74.7,1.5,1.1,1.9,1.3,1.3,1.8
136,L,34,New Sakpole,76.8,1.9,0.2,1.6,1.8,0.1,0.5
137,L,50,New Sakpole,54.7,1.5,1.0,0.6,-0.8,1.2,0.2
138,L,29,New Sakpole,77.1,0.9,2.1,1.7,0.6,1.1,-0.4
139,L,39,New Sakpole,61.4,0.7,0.9,2.0,1.6,1.0,0.6
140,L,39,New Sakpole,38.5,1.9,1.5,1.1,-0.8,0.3,-1.0
141,P,47,New Sakpole,68.7,-0.3,1.8,-1.3,1.5,0.9,1.6
142,L,25,New Sakpole,57.9,2.4,2.5,-0.1,0.1,1.1,1.4
143,P,44,New Sakpole,84.3,1.5,1.1,1.4,-0.0,0.9,-0.4
144,P,44,New Sakpole,64.6,-0.3,1.8,-0.7,1.9,0.6,1.8
145,P,51,New Sakpole,68.5,1.6,2.4,1.4,-0.4,-0.9,1.4
146,L,38,New Sakpole,72.7,0.9,2.3,-1.1,1.1,1.1,0.8
147,L,47,New Sakpole,64.8,1.5,-0.5,-1.3,1.5,-0.4,-1.1
148,L,50,New Sakpole,66.8,1.7,0.4,-0.2,-0.9,1.2,0.2
149,L,45,New Sakpole,78.1,-0.7,0.1,-1.4,1.0,1.7,0.3
150,P,50,New Sakpole,55.2,0.8,-0.7,1.9,1.9,0.8,-0.7
151,L,22,New Sakpole,59.6,2.3,1.2,1.4,-0.6,0.9,-1.2
152,L,36,New Sakpole,56.4,0.1,1.6,1.3,1.7,2.3,1.2
153,L,21,New Sakpole,85.2,1.1,2.0,0.7,0.8,2.0,-1.1
154,L,52,New Sakpole,59.6,0.3,-0.6,-0.7,0.8,2.2,0.6
155,L,34,New Sakpole,66.3,0.6,2.1,0.3,0.8,1.8,1.8
156,P,45,New Sakpole,60.8,0.9,1.3,0.6,-0.1,-0.6,1.6
157,L,47,New Sakpole,64.3,0.9,1.5,0.3,1.8,-0.5,-0.5
158,P,46,New Sakpole,59.2,-0.3,2.2,-0.6,1.8,0.8,1.5
159,L,23,New Sakpole,73.6,1.4,1.2,0.3,0.9,-0.1,-1.5
160,P,52,New Sakpole,55.5,-0.7,0.2,0.2,1.4,0.7,-1.4
161,L,54,New Sakpole,51.8,-0.5,1.9,2.0,0.8,0.4,0.6
162,L,41,New Sakpole,61.3,-1.0,0.3,1.6,0.5,0.9,-0.2
163,P,46,New Sakpole,58.4,-0.6,-0.9,0.1,1.0,1.6,-0.1
164,P,48,New Sakpole,51.9,0.7,1.9,0.7,0.7,1.5,0.5
165,P,52,New Sakpole,64.1,1.1,0.2,1.1,0.8,0.8,-0.8
166,L,50,New Sakpole,48.1,1.8,1.7,-1.4,1.4,1.9,-0.8
167,P,38,New Sakpole,88.7,-0.6,0.3,1.6,0.4,0.5,0.2
168,L,49,New Sakpole,50.1,2.0,2.0,1.5,-0.9,2.1,1.1
169,L,40,New Sakpole,60.2,1.6,-0.2,0.1,-0.5,-0.8,0.7
170,P,50,New Sakpole,63.2,0.4,2.4,-0.1,0.3,2.3,-0.5
171,P,20,New Sakpole,88.2,2.3,1.7,-0.5,1.2,1.3,0.0
172,L,35,New Sakpole,47.2,2.5,-0.6,0.2,0.8,0.3,-0.9
173,L,42,New Sakpole,69.7,-0.3,1.0,-1.3,1.0,-0.3,-1.2
174,P,48,New Sakpole,80.4,0.3,2.4,1.5,0.4,0.7,1.2
175,P,20,New Sakpole,64.3,2.2,0.6,-1.4,0.8,-0.3,-0.6
176,P,41,New Sakpole,54.0,1.5,-0.4,-0.3,-0.0,-0.4,-0.9
177,L,49,New Sakpole,66.7,-0.8,0.7,1.8,0.4,1.2,0.9
178,L,39,New Sakpole,86.3,1.7,0.8,1.1,1.2,0.8,0.7
179,L,40,New Sakpole,60.6,1.9,1.6,-0.5,1.6,1.3,0.7
180,L,19,New Sakpole,85.2,1.6,1.4,-0.6,0.3,2.3,-0.7
181,L,44,New Sakpole,71.1,1.8,0.4,-1.5,-0.9,0.9,-0.7
182,L,19,New Sakpole,82.8,1.9,-0.2,0.9,-0.5,1.0,-0.7
183,P,43,New Sakpole,70.6,-0.3,1.3,-1.3,-0.9,-0.7,-0.9
184,L,34,New Sakpole,62.2,-0.2,0.5,0.4,1.0,1.5,0.8
185,L,50,New Sakpole,87.7,1.2,-0.5,1.9,-0.0,0.4,1.5
186,L,26,New Sakpole,70.7,2.2,2.2,-1.1,0.6,2.4,1.0
187,P,46,New Sakpole,70.0,0.1,1.4,1.6,0.5,1.9,1.3
188,L,43,New Sakpole,77.7,1.1,1.4,2.0,-0.8,0.8,-0.1
189,L,52,New Sakpole,79.1,1.4,1.9,-1.3,0.2,-0.6,0.8
190,P,42,New Sakpole,77.8,0.6,0.9,1.6,-0.3,2.0,-0.3
191,L,41,New Sakpole,51.8,1.5,1.9,0.3,0.3,1.8,0.3
192,L,30,New Sakpole,60.4,2.1,0.7,1.7,-0.4,-0.4,0.2
193,L,24,New Sakpole,60.1,1.2,-0.8,0.5,1.5,0.0,-0.9
194,L,53,New Sakpole,58.7,0.9,0.4,0.8,-0.5,1.8,-0.1
195,L,37,New Sakpole,57.5,0.5,0.7,0.4,1.9,-0.4,1.9
196,P,18,New Sakpole,59.9,1.0,1.5,1.5,0.2,2.2,-0.6
197,P,25,New Sakpole,72.0,0.2,-0.6,1.1,1.5,0.5,-1.0
198,P,33,New Sakpole,,,-0.5,,0.9,-0.7,-0.0
199,L,31,New Sakpole,,,-0.1,,1.2,1.9,1.3
200,L,29,New Sakpole,,,-0.1,,1.3,0.3,0.5
